id,state,rate,fuel_type,fuel_type_code,fips,abbrev,note,MMFR_year,effective_date,annual
15_2a_2022_2016_1,Hawaii,16,Diesel,2a,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2022,01/01/2016 12:00:00 AM,1
15_2a_2023_2016_1,Hawaii,16,Diesel,2a,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2023,01/01/2016 12:00:00 AM,1
22_1b_2022_1990_1,Louisiana,20,Gasohol,1b,22,LA,,2022,01/01/1990 12:00:00 AM,1
15_2b_2013_2004_7,Hawaii,5.2,Liquefied Petroleum Gas,2b,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2013,07/01/2004 12:00:00 AM,1
15_2b_2014_2004_7,Hawaii,5.2,Liquefied Petroleum Gas,2b,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2014,07/01/2004 12:00:00 AM,1
15_2b_2015_2004_7,Hawaii,5.2,Liquefied Petroleum Gas,2b,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2015,07/01/2004 12:00:00 AM,1
15_2b_2016_2004_7,Hawaii,5.2,Liquefied Petroleum Gas,2b,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2016,07/01/2004 12:00:00 AM,1
15_2b_2017_2004_7,Hawaii,5.2,Liquefied Petroleum Gas,2b,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2017,07/01/2004 12:00:00 AM,1
15_2b_2018_2004_7,Hawaii,5.2,Liquefied Petroleum Gas,2b,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2018,07/01/2004 12:00:00 AM,1
15_2b_2019_2004_7,Hawaii,5.2,Liquefied Petroleum Gas,2b,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2019,07/01/2004 12:00:00 AM,1
15_2b_2020_2004_7,Hawaii,5.2,Liquefied Petroleum Gas,2b,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2020,07/01/2004 12:00:00 AM,1
15_2b_2021_2004_7,Hawaii,5.2,Liquefied Petroleum Gas,2b,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2021,07/01/2004 12:00:00 AM,1
15_2b_2022_2004_7,Hawaii,5.2,Liquefied Petroleum Gas,2b,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2022,07/01/2004 12:00:00 AM,1
15_2b_2023_2004_7,Hawaii,5.2,Liquefied Petroleum Gas,2b,15,HI,"Effective 01/01/02, alternative fuels pay an amount proportional to the diesel tax as follows: .29 for ethanol, .5 for bio-diesel, and .33 for LPG.  An additional 1 cent is added to these amounts, and then rounded to the nearest 1 cent.",2023,07/01/2004 12:00:00 AM,1
16_1a_2013_1996_1,Idaho,25,Gasoline,1a,16,ID,LPG users may pay an annual fee based on vehicle weight in lieu of volume tax.,2013,01/01/1996 12:00:00 AM,1
16_1a_2014_1996_1,Idaho,25,Gasoline,1a,16,ID,LPG users may pay an annual fee based on vehicle weight in lieu of volume tax.,2014,01/01/1996 12:00:00 AM,1
16_1a_2015_2015_7,Idaho,32,Gasoline,1a,16,ID,LPG users may pay an annual fee based on vehicle weight in lieu of volume tax.,2015,07/01/2015 12:00:00 AM,1
16_1a_2016_2015_7,Idaho,33,Gasoline,1a,16,ID,LPG users may pay an annual fee based on vehicle weight in lieu of volume tax.,2016,07/01/2015 12:00:00 AM,1
16_1a_2017_2015_7,Idaho,33,Gasoline,1a,16,ID,LPG users may pay an annual fee based on vehicle weight in lieu of volume tax.,2017,07/01/2015 12:00:00 AM,1
16_1a_2018_2015_7,Idaho,33,Gasoline,1a,16,ID,LPG users may pay an annual fee based on vehicle weight in lieu of volume tax.,2018,07/01/2015 12:00:00 AM,1
16_1a_2019_2015_7,Idaho,33,Gasoline,1a,16,ID,LPG users may pay an annual fee based on vehicle weight in lieu of volume tax.,2019,07/01/2015 12:00:00 AM,1
16_1a_2020_2015_7,Idaho,33,Gasoline,1a,16,ID,LPG users may pay an annual fee based on vehicle weight in lieu of volume tax.,2020,07/01/2015 12:00:00 AM,1
16_1a_2021_2015_7,Idaho,33,Gasoline,1a,16,ID,LPG users may pay an annual fee based on vehicle weight in lieu of volume tax.,2021,07/01/2015 12:00:00 AM,1
16_1a_2022_2015_7,Idaho,33,Gasoline,1a,16,ID,LPG users may pay an annual fee based on vehicle weight in lieu of volume tax.,2022,07/01/2015 12:00:00 AM,1
16_1a_2023_2015_7,Idaho,33,Gasoline,1a,16,ID,LPG users may pay an annual fee based on vehicle weight in lieu of volume tax.,2023,07/01/2015 12:00:00 AM,1
